Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
2, 5, Read, 0, 79, 0.013239882
0, 5, sync_write_read, 0, 26, 0.03351306
1, 5, Read, 0, 78, 0.011265748
3, 5, Read, 0, 79, 0.011172231
4, 5, Read, 0, 80, 0.010443506
2, 5, Read, 0, 80, 0.010641717
1, 5, Read, 0, 79, 0.012463387
3, 5, Read, 0, 80, 0.012493069
4, 5, Read, 0, 81, 0.012309945
2, 5, Read, 0, 81, 0.012366028
1, 5, Read, 0, 80, 0.010505945
3, 5, Read, 0, 81, 0.010052326
4, 5, Read, 0, 82, 0.010804237
2, 5, Read, 0, 82, 0.010437361
0, 5, sync_write_read, 0, 27, 0.03386576
1, 5, Read, 0, 81, 0.012804492
3, 5, Read, 0, 82, 0.013092936
4, 5, Read, 0, 83, 0.012549362
2, 5, Read, 0, 83, 0.013461628
1, 5, Read, 0, 82, 0.011062091
3, 5, Read, 0, 83, 0.0107587
4, 5, Read, 0, 84, 0.011240047
2, 5, Read, 0, 84, 0.010379113
1, 5, Read, 0, 83, 0.012786542
3, 5, Read, 0, 84, 0.013130511
4, 5, Read, 0, 85, 0.012727108
2, 5, Read, 0, 85, 0.013044955
0, 5, sync_write_read, 0, 28, 0.036816204
1, 5, Read, 0, 84, 0.010686205
3, 5, Read, 0, 85, 0.010299214
4, 5, Read, 0, 86, 0.010494352
2, 5, Read, 0, 86, 0.010392313
1, 5, Read, 0, 85, 0.013190294
3, 5, Read, 0, 86, 0.013541876
4, 5, Read, 0, 87, 0.013294987
2, 5, Read, 0, 87, 0.013417419
1, 5, Read, 0, 86, 0.010990295
3, 5, Read, 0, 87, 0.010673284
4, 5, Read, 0, 88, 0.011204777
2, 5, Read, 0, 88, 0.010917939
0, 5, sync_write_read, 0, 29, 0.037969144
1, 5, Read, 0, 87, 0.012970853
3, 5, Read, 0, 88, 0.013331374
4, 5, Read, 0, 89, 0.012736257
2, 5, Read, 0, 89, 0.01309992
1, 5, Read, 0, 88, 0.010526967
3, 5, Read, 0, 89, 0.010181253
4, 5, Read, 0, 90, 0.010572783
2, 5, Read, 0, 90, 0.01048618
1, 5, Read, 0, 89, 0.012810218
3, 5, Read, 0, 90, 0.013211387
4, 5, Read, 0, 91, 0.012901082
2, 5, Read, 0, 91, 0.012949831
0, 5, sync_write_read, 0, 30, 0.033469689
1, 5, Read, 0, 90, 0.010830567
3, 5, Read, 0, 91, 0.010436244
4, 5, Read, 0, 92, 0.010568173
2, 5, Read, 0, 92, 0.010506014
1, 5, Read, 0, 91, 0.012274955
3, 5, Read, 0, 92, 0.012213494
4, 5, Read, 0, 93, 0.012367005
2, 5, Read, 0, 93, 0.012335926
1, 5, Read, 0, 92, 0.009884916
3, 5, Read, 0, 93, 0.010856827
4, 5, Read, 0, 94, 0.010180903
2, 5, Read, 0, 94, 0.010829869
0, 5, sync_write_read, 0, 31, 0.033988051
1, 5, Read, 0, 93, 0.013538104
3, 5, Read, 0, 94, 0.012605933
4, 5, Read, 0, 95, 0.013127787
2, 5, Read, 0, 95, 0.012495234
1, 5, Read, 0, 94, 0.009621405
3, 5, Read, 0, 95, 0.010319678
4, 5, Read, 0, 96, 0.010289367
2, 5, Read, 0, 96, 0.010765894
1, 5, Read, 0, 95, 0.010924993
3, 5, Read, 0, 96, 0.013238555
4, 5, Read, 0, 97, 0.013163476
2, 5, Read, 0, 97, 0.012865323
0, 5, sync_write_read, 0, 32, 0.036198109
1, 5, Read, 0, 96, 0.012860155
3, 5, Read, 0, 97, 0.01060931
4, 5, Read, 0, 98, 0.010340701
2, 5, Read, 0, 98, 0.010522637
1, 5, Read, 0, 97, 0.010511393
3, 5, Read, 0, 98, 0.012110478
4, 5, Read, 0, 99, 0.012163349
2, 5, Read, 0, 99, 0.012201272
1, 5, Read, 0, 98, 0.012340466
3, 5, Read, 0, 99, 0.009910828
4, 5, Read, 0, 100, 0.010758561
2, 5, Read, 0, 100, 0.010142281
0, 5, sync_write_read, 0, 33, 0.033669295
1, 5, Read, 0, 99, 0.010899711
3, 5, Read, 0, 100, 0.013616396
4, 5, Read, 0, 101, 0.012726619
2, 5, Read, 0, 101, 0.013253711
1, 5, Read, 0, 100, 0.012402206
3, 5, Read, 0, 101, 0.009720789
4, 5, Read, 0, 102, 0.010496726
2, 5, Read, 0, 102, 0.010221202
1, 5, Read, 0, 101, 0.010634383
3, 5, Read, 0, 102, 0.010789221
4, 5, Read, 0, 103, 0.013067304
2, 5, Read, 0, 103, 0.013349114
0, 5, sync_write_read, 0, 34, 0.036233099
1, 5, Read, 0, 102, 0.01311284
3, 5, Read, 0, 103, 0.012981399
4, 5, Read, 0, 104, 0.010712606
2, 5, Read, 0, 104, 0.010415361
1, 5, Read, 0, 103, 0.010978701
3, 5, Read, 0, 104, 0.014055209
4, 5, Read, 0, 105, 0.013303228
2, 5, Read, 0, 105, 0.013722625
1, 5, Read, 0, 104, 0.013132257
3, 5, Read, 0, 105, 0.010021316
4, 5, Read, 0, 106, 0.010726993
2, 5, Read, 0, 106, 0.010349152
0, 5, sync_write_read, 0, 35, 0.034937054
1, 5, Read, 0, 105, 0.010651773
3, 5, Read, 0, 106, 0.010796205
4, 5, Read, 0, 107, 0.013005355
2, 5, Read, 0, 107, 0.013195882
1, 5, Read, 0, 106, 0.012916028
3, 5, Read, 0, 107, 0.01272606
4, 5, Read, 0, 108, 0.010518307
2, 5, Read, 0, 108, 0.010226161
1, 5, Read, 0, 107, 0.010290695
3, 5, Read, 0, 108, 0.010670631
4, 5, Read, 0, 109, 0.012658313
