thread nr: 0
thread nr: 3
Starting tests
thread nr: 2
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 1
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 4
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
4, 5, Read, true, 95, 0.013643844
2, 5, Read, true, 95, 0.013311469
1, 5, Read, true, 95, 0.010410262
3, 5, Read, true, 94, 0.011350675
4, 5, Read, true, 96, 0.011140733
2, 5, Read, true, 96, 0.011012155
0, 5, sync_write_read, true, 31, 0.03557268
1, 5, Read, true, 96, 0.013818447
3, 5, Read, true, 95, 0.012872586
4, 5, Read, true, 97, 0.013134631
2, 5, Read, true, 97, 0.012932371
1, 5, Read, true, 97, 0.010242014
3, 5, Read, true, 96, 0.011197932
4, 5, Read, true, 98, 0.010990923
2, 5, Read, true, 98, 0.011155399
1, 5, Read, true, 98, 0.013831787
3, 5, Read, true, 97, 0.012851425
4, 5, Read, true, 99, 0.013110885
2, 5, Read, true, 99, 0.012914771
0, 5, sync_write_read, true, 32, 0.037682376
1, 5, Read, true, 99, 0.011501812
3, 5, Read, true, 98, 0.011490568
4, 5, Read, true, 100, 0.011424637
2, 5, Read, true, 100, 0.011525139
1, 5, Read, true, 100, 0.013160542
3, 5, Read, true, 99, 0.013429082
4, 5, Read, true, 101, 0.013285489
2, 5, Read, true, 101, 0.013379076
1, 5, Read, true, 101, 0.011096174
3, 5, Read, true, 100, 0.010941405
4, 5, Read, true, 102, 0.011148974
2, 5, Read, true, 102, 0.010998815
0, 5, sync_write_read, true, 33, 0.035331379
1, 5, Read, true, 102, 0.013410853
3, 5, Read, true, 101, 0.013688892
4, 5, Read, true, 103, 0.013260346
2, 5, Read, true, 103, 0.01342552
1, 5, Read, true, 103, 0.011033317
3, 5, Read, true, 102, 0.01069319
4, 5, Read, true, 104, 0.01145397
2, 5, Read, true, 104, 0.01146724
1, 5, Read, true, 104, 0.013358472
3, 5, Read, true, 103, 0.013866289
4, 5, Read, true, 105, 0.013079876
2, 5, Read, true, 105, 0.013087139
0, 5, sync_write_read, true, 34, 0.037897906
1, 5, Read, true, 105, 0.011370789
3, 5, Read, true, 104, 0.011261139
4, 5, Read, true, 106, 0.01126896
2, 5, Read, true, 106, 0.011152117
1, 5, Read, true, 106, 0.012614873
3, 5, Read, true, 105, 0.012670396
4, 5, Read, true, 107, 0.012579603
2, 5, Read, true, 107, 0.012592313
1, 5, Read, true, 107, 0.011417514
3, 5, Read, true, 106, 0.011287399
4, 5, Read, true, 108, 0.011394396
2, 5, Read, true, 108, 0.01141011
0, 5, sync_write_read, true, 35, 0.037625665
1, 5, Read, true, 108, 0.012611311
3, 5, Read, true, 107, 0.012761749
4, 5, Read, true, 109, 0.01271747
2, 5, Read, true, 109, 0.013015412
1, 5, Read, true, 109, 0.011231596
3, 5, Read, true, 108, 0.011089678
4, 5, Read, true, 110, 0.011206942
2, 5, Read, true, 110, 0.010896288
1, 5, Read, true, 110, 0.012638548
3, 5, Read, true, 109, 0.013076593
4, 5, Read, true, 111, 0.012749386
2, 5, Read, true, 111, 0.012953533
0, 5, sync_write_read, true, 36, 0.034307645
1, 5, Read, true, 111, 0.011268751
3, 5, Read, true, 110, 0.010891539
4, 5, Read, true, 112, 0.011148834
