Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
4, 5, Read, 1, 401, 0.002025816
4, 5, Read, 1, 402, 0.002737569
4, 5, Read, 1, 403, 0.001886204
4, 5, Read, 1, 404, 0.002622261
4, 5, Read, 1, 405, 0.002254267
4, 5, Read, 1, 406, 0.004622795
4, 5, Read, 1, 407, 0.002053334
4, 5, Read, 1, 408, 0.002796305
4, 5, Read, 1, 409, 0.00224435
4, 5, Read, 1, 410, 0.002103619
4, 5, Read, 1, 411, 0.00271948
4, 5, Read, 1, 412, 0.002000464
4, 5, Read, 1, 413, 0.002611994
4, 5, Read, 1, 414, 0.002204471
4, 5, Read, 1, 415, 0.004651569
4, 5, Read, 1, 416, 0.002018832
4, 5, Read, 1, 417, 0.002720318
4, 5, Read, 1, 418, 0.002178141
4, 5, Read, 1, 419, 0.002008216
4, 5, Read, 1, 420, 0.002958617
4, 5, Read, 1, 421, 0.002044254
4, 5, Read, 1, 422, 0.002648312
4, 5, Read, 1, 423, 0.002223048
4, 5, Read, 1, 424, 0.00468642
4, 5, Read, 1, 425, 0.002063531
4, 5, Read, 1, 426, 0.002727093
4, 5, Read, 1, 427, 0.002333048
4, 5, Read, 1, 428, 0.002059969
4, 5, Read, 1, 429, 0.002773886
4, 5, Read, 1, 430, 0.002040553
4, 5, Read, 1, 431, 0.00260934
4, 5, Read, 1, 432, 0.002228496
4, 5, Read, 1, 433, 0.004570344
4, 5, Read, 1, 434, 0.002018273
4, 5, Read, 1, 435, 0.00274162
4, 5, Read, 1, 436, 0.002169341
4, 5, Read, 1, 437, 0.002008286
4, 5, Read, 1, 438, 0.003238959
4, 5, Read, 1, 439, 0.001833823
4, 5, Read, 1, 440, 0.002601658
4, 5, Read, 1, 441, 0.002211664
4, 5, Read, 1, 442, 0.00462908
4, 5, Read, 1, 443, 0.002041741
4, 5, Read, 1, 444, 0.002708725
4, 5, Read, 1, 445, 0.002190921
4, 5, Read, 1, 446, 0.001995296
4, 5, Read, 1, 447, 0.002766413
4, 5, Read, 1, 448, 0.002075473
4, 5, Read, 1, 449, 0.002712496
4, 5, Read, 1, 450, 0.002199581
4, 5, Read, 1, 451, 0.004775537
4, 5, Read, 1, 452, 0.00209482
4, 5, Read, 1, 453, 0.003175264
4, 5, Read, 1, 454, 0.002170806
4, 5, Read, 1, 455, 0.002000814
4, 5, Read, 1, 456, 0.002736172
4, 5, Read, 1, 457, 0.00264021
4, 5, Read, 1, 458, 0.00221795
