PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
Bytes,IP,ICMP Seq,TTL,Time
64,10.0.0.1,329,128,0.742
64,10.0.0.1,330,128,0.334
64,10.0.0.1,331,128,0.327
64,10.0.0.1,332,128,0.653
64,10.0.0.1,333,128,0.335
64,10.0.0.1,334,128,0.332
64,10.0.0.1,335,128,0.355
64,10.0.0.1,336,128,0.335
64,10.0.0.1,337,128,0.335
64,10.0.0.1,338,128,0.329
64,10.0.0.1,339,128,0.335
64,10.0.0.1,340,128,0.331
64,10.0.0.1,341,128,0.334
64,10.0.0.1,342,128,0.309
64,10.0.0.1,343,128,0.317
64,10.0.0.1,344,128,0.361
64,10.0.0.1,345,128,0.320
64,10.0.0.1,346,128,0.334
64,10.0.0.1,347,128,0.340
64,10.0.0.1,348,128,0.302
64,10.0.0.1,349,128,0.298
64,10.0.0.1,350,128,0.317
64,10.0.0.1,351,128,0.327
64,10.0.0.1,352,128,0.341
64,10.0.0.1,353,128,0.364
64,10.0.0.1,354,128,0.309
64,10.0.0.1,355,128,0.331
64,10.0.0.1,356,128,0.331
64,10.0.0.1,357,128,0.337
64,10.0.0.1,358,128,0.334
64,10.0.0.1,359,128,0.335
64,10.0.0.1,360,128,0.329
64,10.0.0.1,361,128,0.363
64,10.0.0.1,362,128,0.359
64,10.0.0.1,363,128,0.319
64,10.0.0.1,364,128,0.318
64,10.0.0.1,365,128,0.307
64,10.0.0.1,366,128,0.358
64,10.0.0.1,367,128,0.340
64,10.0.0.1,368,128,0.318
64,10.0.0.1,369,128,0.346
64,10.0.0.1,370,128,0.319
64,10.0.0.1,371,128,0.310
64,10.0.0.1,372,128,0.309
64,10.0.0.1,373,128,0.348
64,10.0.0.1,374,128,0.350
64,10.0.0.1,375,128,0.349
64,10.0.0.1,376,128,0.330
64,10.0.0.1,377,128,0.354
64,10.0.0.1,378,128,0.345
64,10.0.0.1,379,128,0.348
64,10.0.0.1,380,128,0.348
64,10.0.0.1,381,128,0.353
64,10.0.0.1,382,128,0.347
64,10.0.0.1,383,128,0.509
64,10.0.0.1,384,128,0.420
64,10.0.0.1,385,128,0.794
64,10.0.0.1,386,128,0.331
64,10.0.0.1,387,128,0.350
64,10.0.0.1,388,128,0.654
64,10.0.0.1,389,128,0.352
64,10.0.0.1,390,128,0.358
64,10.0.0.1,391,128,0.436
64,10.0.0.1,392,128,0.335
64,10.0.0.1,393,128,0.327
64,10.0.0.1,394,128,0.313
64,10.0.0.1,395,128,0.335
64,10.0.0.1,396,128,0.337
64,10.0.0.1,397,128,0.330
64,10.0.0.1,398,128,0.306
64,10.0.0.1,399,128,0.335
64,10.0.0.1,400,128,0.318
64,10.0.0.1,401,128,0.330
64,10.0.0.1,402,128,0.326
64,10.0.0.1,403,128,0.346
64,10.0.0.1,404,128,0.353
64,10.0.0.1,405,128,0.332
64,10.0.0.1,406,128,0.343
64,10.0.0.1,407,128,0.332
64,10.0.0.1,408,128,0.354
64,10.0.0.1,409,128,0.335
64,10.0.0.1,410,128,0.335
64,10.0.0.1,411,128,0.336
64,10.0.0.1,412,128,0.324
64,10.0.0.1,413,128,0.339
64,10.0.0.1,414,128,3.05
64,10.0.0.1,415,128,0.307
64,10.0.0.1,416,128,3.02
64,10.0.0.1,417,128,0.350
64,10.0.0.1,418,128,2.91
64,10.0.0.1,419,128,0.338
64,10.0.0.1,420,128,2.68
64,10.0.0.1,421,128,0.328
64,10.0.0.1,422,128,2.57
64,10.0.0.1,423,128,0.350
64,10.0.0.1,424,128,2.47
64,10.0.0.1,425,128,0.358
64,10.0.0.1,426,128,2.33
64,10.0.0.1,427,128,0.355
64,10.0.0.1,428,128,2.24
64,10.0.0.1,429,128,0.354
64,10.0.0.1,430,128,2.08
64,10.0.0.1,431,128,0.361
64,10.0.0.1,432,128,2.03
64,10.0.0.1,433,128,0.352
64,10.0.0.1,434,128,1.80
64,10.0.0.1,435,128,0.326
64,10.0.0.1,436,128,1.68
64,10.0.0.1,437,128,0.363
64,10.0.0.1,438,128,1.57
64,10.0.0.1,439,128,0.348
64,10.0.0.1,440,128,1.31
64,10.0.0.1,441,128,0.350
64,10.0.0.1,442,128,1.29
64,10.0.0.1,443,128,0.348
64,10.0.0.1,444,128,1.14
64,10.0.0.1,445,128,0.331
64,10.0.0.1,446,128,1.05
64,10.0.0.1,447,128,0.316
64,10.0.0.1,448,128,0.942
64,10.0.0.1,449,128,0.358
64,10.0.0.1,450,128,0.330
64,10.0.0.1,451,128,0.757
64,10.0.0.1,452,128,0.330
64,10.0.0.1,453,128,0.336
64,10.0.0.1,454,128,0.530
64,10.0.0.1,455,128,0.335
64,10.0.0.1,456,128,0.333
64,10.0.0.1,457,128,0.339
64,10.0.0.1,458,128,0.355
64,10.0.0.1,459,128,0.335
64,10.0.0.1,460,128,0.341
64,10.0.0.1,461,128,0.340
64,10.0.0.1,462,128,0.326
64,10.0.0.1,463,128,0.331
64,10.0.0.1,464,128,0.331
64,10.0.0.1,465,128,0.339
64,10.0.0.1,466,128,0.301
64,10.0.0.1,467,128,0.330
64,10.0.0.1,468,128,0.335
64,10.0.0.1,469,128,0.354
64,10.0.0.1,470,128,0.351
64,10.0.0.1,471,128,0.346
64,10.0.0.1,472,128,0.336
64,10.0.0.1,473,128,0.331
64,10.0.0.1,474,128,0.320
64,10.0.0.1,475,128,0.325
64,10.0.0.1,476,128,0.331
64,10.0.0.1,477,128,0.353
64,10.0.0.1,478,128,0.339
64,10.0.0.1,479,128,0.331
64,10.0.0.1,480,128,0.320
64,10.0.0.1,481,128,0.332
64,10.0.0.1,482,128,0.354
64,10.0.0.1,483,128,0.352
64,10.0.0.1,484,128,0.360
64,10.0.0.1,485,128,0.319
64,10.0.0.1,486,128,0.303
64,10.0.0.1,487,128,0.356
64,10.0.0.1,488,128,0.345
64,10.0.0.1,489,128,0.345
64,10.0.0.1,490,128,0.337
64,10.0.0.1,491,128,0.353
64,10.0.0.1,492,128,0.320
64,10.0.0.1,493,128,0.313
64,10.0.0.1,494,128,0.354
64,10.0.0.1,495,128,0.349
64,10.0.0.1,496,128,0.339
64,10.0.0.1,497,128,0.363
64,10.0.0.1,498,128,0.354
64,10.0.0.1,499,128,0.361
64,10.0.0.1,500,128,0.311
64,10.0.0.1,501,128,0.307
64,10.0.0.1,502,128,0.344
64,10.0.0.1,503,128,0.335
64,10.0.0.1,504,128,0.365
64,10.0.0.1,505,128,0.503
64,10.0.0.1,506,128,0.422
64,10.0.0.1,507,128,0.832
64,10.0.0.1,508,128,0.353
64,10.0.0.1,509,128,0.351
64,10.0.0.1,510,128,0.616
64,10.0.0.1,511,128,0.350
64,10.0.0.1,512,128,0.336
64,10.0.0.1,513,128,0.401
64,10.0.0.1,514,128,0.327
64,10.0.0.1,515,128,0.351
64,10.0.0.1,516,128,0.351
64,10.0.0.1,517,128,0.337
64,10.0.0.1,518,128,0.326
64,10.0.0.1,519,128,0.353
64,10.0.0.1,520,128,0.315
64,10.0.0.1,521,128,0.341
64,10.0.0.1,522,128,0.303
64,10.0.0.1,523,128,0.354
64,10.0.0.1,524,128,0.331
64,10.0.0.1,525,128,0.334
64,10.0.0.1,526,128,0.314
64,10.0.0.1,527,128,0.348
64,10.0.0.1,528,128,0.355
64,10.0.0.1,529,128,0.351
64,10.0.0.1,530,128,0.356
64,10.0.0.1,531,128,0.327
64,10.0.0.1,532,128,0.336
64,10.0.0.1,533,128,0.337
64,10.0.0.1,534,128,0.336
64,10.0.0.1,535,128,0.332
64,10.0.0.1,536,128,3.12
64,10.0.0.1,537,128,0.334
64,10.0.0.1,538,128,2.98
64,10.0.0.1,539,128,0.349
64,10.0.0.1,540,128,2.82
64,10.0.0.1,541,128,0.333
64,10.0.0.1,542,128,2.70
64,10.0.0.1,543,128,0.334
64,10.0.0.1,544,128,2.56
64,10.0.0.1,545,128,0.334
64,10.0.0.1,546,128,2.46
64,10.0.0.1,547,128,0.343
64,10.0.0.1,548,128,2.33
64,10.0.0.1,549,128,0.338
64,10.0.0.1,550,128,2.23
64,10.0.0.1,551,128,0.306
64,10.0.0.1,552,128,2.06
64,10.0.0.1,553,128,0.351
64,10.0.0.1,554,128,2.01
64,10.0.0.1,555,128,0.327
64,10.0.0.1,556,128,1.89
64,10.0.0.1,557,128,0.341
64,10.0.0.1,558,128,1.65
64,10.0.0.1,559,128,0.325
64,10.0.0.1,560,128,1.51
64,10.0.0.1,561,128,0.331
64,10.0.0.1,562,128,1.39
64,10.0.0.1,563,128,0.327
64,10.0.0.1,564,128,1.27
64,10.0.0.1,565,128,0.355
64,10.0.0.1,566,128,1.15
64,10.0.0.1,567,128,0.329
64,10.0.0.1,568,128,1.03
64,10.0.0.1,569,128,0.344
64,10.0.0.1,570,128,0.863
64,10.0.0.1,571,128,0.334
64,10.0.0.1,572,128,0.307
64,10.0.0.1,573,128,0.706
64,10.0.0.1,574,128,0.341
64,10.0.0.1,575,128,0.332
64,10.0.0.1,576,128,0.471
64,10.0.0.1,577,128,0.364
64,10.0.0.1,578,128,0.299
64,10.0.0.1,579,128,0.336
64,10.0.0.1,580,128,0.347
64,10.0.0.1,581,128,0.351
64,10.0.0.1,582,128,0.354
64,10.0.0.1,583,128,0.334
64,10.0.0.1,584,128,0.349
64,10.0.0.1,585,128,0.356
64,10.0.0.1,586,128,0.335
64,10.0.0.1,587,128,0.330
64,10.0.0.1,588,128,0.354
64,10.0.0.1,589,128,0.346
64,10.0.0.1,590,128,0.338
64,10.0.0.1,591,128,0.331
64,10.0.0.1,592,128,0.355
64,10.0.0.1,593,128,0.329
64,10.0.0.1,594,128,0.335
64,10.0.0.1,595,128,0.356
64,10.0.0.1,596,128,0.351
64,10.0.0.1,597,128,0.335
64,10.0.0.1,598,128,0.354
64,10.0.0.1,599,128,0.356
64,10.0.0.1,600,128,0.348
64,10.0.0.1,601,128,0.338
64,10.0.0.1,602,128,0.336
64,10.0.0.1,603,128,0.338
64,10.0.0.1,604,128,0.347
64,10.0.0.1,605,128,0.334
64,10.0.0.1,606,128,0.313
64,10.0.0.1,607,128,0.323
64,10.0.0.1,608,128,0.330
64,10.0.0.1,609,128,0.331
